,Date,User,Tweet
62,2022-06-01 03:33:18+00:00,GirlsinTech,"The 2022 Girls in Tech Conference is inspiring us to drop ‘F’ words left, right and center. The best kind of ‘F’ words. We guarantee you’ll have Fun, make new Friends, and build the Foundations of success so you can thrive in your tech career.

https://t.co/9qJT2U95VL

#GITCon22 https://t.co/nKQ3mUXQBv"
63,2022-05-31 16:02:23+00:00,GirlsinTech,"From product designers, to entrepreneurs, to streamers—meet the women past and present who have forged their own path in #gaming. ✨
 https://t.co/CUt9Wv6i8P https://t.co/vBWbyRdBEX"
64,2022-05-29 00:00:37+00:00,GirlsinTech,"Girls in Tech Conference 2022. It's on! 

You coming? 🤔

https://t.co/9qJT2U95VL

#GirlsinTech #GITCon22 #OneMillionStories https://t.co/Y2juGSKlOk"
65,2022-05-26 00:01:18+00:00,GirlsinTech,"Do you agree?

https://t.co/giwqu9644z

#GirlsinTech #Ukraine #westandwithukraine https://t.co/4MvxEuJ54z"
66,2022-05-25 04:05:02+00:00,GirlsinTech,"Ukrainian tech workers are using their skills to develop innovative platforms that collect humanitarian donations, warn about air raids, and help people find shelter and supplies. Incredible!

Get inspired and learn how you can make an impact too 👇

https://t.co/giwqu9644z https://t.co/gYVwsQVnjU"
67,2022-05-24 16:02:50+00:00,GirlsinTech,"""Learning to speak inclusively requires us to keep learning, practicing, and pushing ourselves toward personal growth."" ✨

Just a few simple vocabulary changes can make a big difference in and outside the workplace. Here's how. 

https://t.co/PFoveuZdpn #diversity #inclusion"
68,2022-05-24 13:34:14+00:00,GirlsinTech,@NukGrl @WITWomen @WomenWhoCode Hi! Please check out our job board where you can post your listing! https://t.co/NAg70SGZeV
69,2022-05-16 16:02:57+00:00,GirlsinTech,"We’ve partnered up with @McKinsey and @Nike to explore and design meaningful tech solutions to support those in impacted by the ongoing war in Ukraine. 

If you’ve got skills to contribute, it’s your chance to make a real difference.

Start today 👇
https://t.co/kqA2wT1qcc https://t.co/zoLZH3NkAH"
70,2022-05-16 15:46:10+00:00,GirlsinTech,"The next wave of breakthrough #innovation is rooted in #inclusion. ✨  Now is the perfect time for brands to cultivate inclusion as a mandatory business KPI. 
Here's why ➡️https://t.co/5jnnZYe4PX"
71,2022-05-15 00:00:40+00:00,GirlsinTech,"We've partnered up with @AWS to bring you a truly insightful evening exploring some of the exciting career opportunities available for women in tech.  

Join us on June 21st, in-person at the AWS Washington, D.C. office!

Register now 👉 https://t.co/5BeXKoOXL1 https://t.co/PRzlZlGTni"
72,2022-05-13 02:00:38+00:00,GirlsinTech,"Only 2 days to go! Don't miss this chance to shake up your approach to work or boost your skillset with our Design Thinking Bootcamp. 

Join us in Miami on May 14th and 15th!

Register now 👉 https://t.co/0AZ9UNSv9h"
73,2022-05-11 02:00:38+00:00,GirlsinTech,"If you’re a mom in tech, we’re here to tell you this: Tech needs you! For so many reasons. 

In our latest article we explore these reasons, and offer advice for how you can build a successful career while navigating motherhood.

Have a read! 👇
https://t.co/FvDn8tm9tX"
74,2022-05-09 16:02:34+00:00,GirlsinTech,"The global pandemic widened the #gendergap at the workplace and highlighted the unique challenges women face. 

Here’s how a new tool that uses science to uncover bias at work can improve workplaces for women. ✨ #girlsintech
https://t.co/D9ZdP6xP0c"
75,2022-05-08 10:00:59+00:00,GirlsinTech,"Let today be about you. 

#HappyMothersDay #techmoms #empowerment https://t.co/ewUATH1fUx"
76,2022-05-06 12:14:44+00:00,GirlsinTech,"Gender stereotypes are defined between 5 and 7 years of age. When asked to draw a firefighter, surgeon and a fighter pilot, these children drew 61 pictures of men and only 5 were female. It's time to #redrawthebalance.
https://t.co/i2jsc5T6W8 @InspiringTF"
77,2022-05-04 02:00:39+00:00,GirlsinTech,When is being different a bad thing? We say never! https://t.co/WrLZN9ggyr
78,2022-04-29 02:00:43+00:00,GirlsinTech,Do you get the Sunday Scaries? Tell us what it looks like for you. https://t.co/AtoV5UU82l
79,2022-04-23 13:01:14+00:00,GirlsinTech,"Wherever you’re at in your career, give yourself the best chance of succeeding. Sign up for the Girls in Tech Mentorship Program now. Learn and grow alongside another woman in the industry who ‘gets’ it.

Register quick, spots are limited! 👇

https://t.co/nAWaOd7fDv https://t.co/skFws6wdye"
80,2022-04-23 12:00:10+00:00,GirlsinTech,"Join us for an unforgettable day of meaningful conversations at The Girls in Tech Conference in Nashville, and leave inspired to reach new lengths in your tech career. 

Grab your tickets before May 15th for Earlybird pricing! 👉 https://t.co/9qJT2U95VL https://t.co/cVosaw33f7"
81,2022-04-22 21:37:49+00:00,GirlsinTech,"Women in tech are gaining ground in the tech industry! 🥳According to @Deloitte estimates, women’s representation in #tech leadership positions saw the highest increase (an astounding 20% ⬆️.)  from 2019 to 2022! 👏

Learn more: 🔽
https://t.co/HiUuRU8Gse"
82,2022-04-21 00:58:18+00:00,GirlsinTech,"@Hootsuite_Help we have an enterprise account, yet we are unable to post on multiple Twitter accounts at once. Wondering what the reason for this is. Thanks!"
83,2022-04-20 02:00:37+00:00,GirlsinTech,"Have you heard? 

We are running intensive, hands-on, 3-day Design Thinking Bootcamps globally!

The upcoming cities include:

📍 Miami on May 14th &amp; 15th 
📍 Nashville on June 11th &amp; 12th 
📍 Phoenix July 9th &amp; 10th 

Register now 👉 https://t.co/CpUAzFsdbZ https://t.co/xkJqpRG09D"
84,2022-04-16 12:01:15+00:00,GirlsinTech,"Fixing the broken rung will indeed require concentrated efforts. Is your company on board? 🤝
 
Thank you @wef for sharing our work with @McKinsey 
https://t.co/4xOv1qkmHD https://t.co/nhXd4tPgJt"
85,2022-04-15 02:00:39+00:00,GirlsinTech,"Why do you think this is? 🤔 
https://t.co/YnOIZ9saAK https://t.co/MDwpJRq2B5"
86,2022-04-13 02:00:39+00:00,GirlsinTech,"We need to focus on advancing women earlier on in their careers. Why? Girls in Tech recently published some groundbreaking research with McKinsey &amp; Company about the issue.

Learn about the ‘broken rung in the career ladder’ in our latest article.

https://t.co/YnOIZ9JLZk https://t.co/PFwYFDMIrz"
87,2022-04-10 01:45:02+00:00,GirlsinTech,"Looking for a #Mentor? Sign up now for Girls in Tech’s FREE Mentorship Program, designed to connect and uplift professional women.

Thanks to sponsors McKinsey &amp; Company, AWS, and Nike.

Sign up here 👉 https://t.co/nAWaOd7fDv https://t.co/ViXhmT65xh"
88,2022-04-08 22:00:49+00:00,GirlsinTech,"The time is always right to tap into the invaluable talent pool: women! #girlsintech  #inclusion
https://t.co/sfIaLXdGII"
89,2022-04-08 02:00:13+00:00,GirlsinTech,"We’re thrilled to be hosting this year’s Girls in Tech Conference in person once again! Join a community of women for meaningful conversations, inspiring talks, and a day of enjoyment in Nashville Tennessee. 

Get your tickets now 👇
https://t.co/9qJT2U95VL https://t.co/TWUrhH7zuJ"
90,2022-04-05 19:01:41+00:00,GirlsinTech,"We love this comment from ‘SafeSpace’ teammate, Dr. Teresa Vasquezour, our winning entry from our ‘Mental Health For All’ Virtual Hackathon.

Watch out for more Girls in Tech Hackathons and challenges this year – they’ll be listed on our Events page 

https://t.co/nAWaOd7fDv https://t.co/Bm5rFRDkKK"
91,2022-04-05 16:02:24+00:00,GirlsinTech,"While there’s been meaningful progress, women in leadership continue to be underrepresented tech. This tech leader shares a few actionable ways for women in all tech roles to advocate for themselves and have thriving careers:  https://t.co/hcBRM3QDaO"
92,2022-04-02 13:01:36+00:00,GirlsinTech,"If you’re interested in learning about and applying machine learning to real-world problems using Python, sign up for Global Classroom Python Machine Learning now. 

(View course prerequisites carefully to make sure it’s right for you!)

https://t.co/m3JeXBZP6h https://t.co/TbI3TEQTgz"
93,2022-03-31 19:01:47+00:00,GirlsinTech,Which one are you? Comment below. 👇 https://t.co/f32SblkTOt
94,2022-03-29 16:02:31+00:00,GirlsinTech,"Different personalities in the workplace keep things interesting – but not without the occasional clash of Type A’s and Type B’s.

Read our latest article for tips on managing personality differences at work. 👇
https://t.co/mXHdtO74nl https://t.co/XnOV9epAUn"
95,2022-03-26 17:01:20+00:00,GirlsinTech,"Break the bias, not your phone, this stylish #BreakTheBias case is available for all our Samsung girls.

The sturdy make will help protect your device from scratches, dirt, oil and dust and gently remind you that YOU don't need to fit into a mold! 

https://t.co/lCL1tHP6cp https://t.co/DFwdVbVdoF"
96,2022-03-24 19:04:48+00:00,GirlsinTech,"#Tech needs more diversity. Bringing in fresh perspectives and diverse voices has been proven to boost business performance.  

If you want to break into the field, don't miss this tech leader's three pieces of advice. ✨

https://t.co/QHRF8s17U5 @jlcharlton3 @merchantsfleet"
97,2022-03-24 15:03:07+00:00,GirlsinTech,"This year, Girls in Tech are combating gender bias in style through the #IWD inspired collection designed to #BreakTheBias and spread awareness about systemic inequalities for women in tech. 

Shop the collection 👇
https://t.co/ptHMPhz06Z

#girlsintech #empowerment https://t.co/BMKOOxGqr5"
98,2022-03-22 17:02:12+00:00,GirlsinTech,"These snazzy socks make a statement to any outfit. Don them proudly under your sneakers, or snuggle up in them at home. 

Either way, you’re spreading the #BreakTheBias gender equality message – very stylishly, might we add.

https://t.co/cd07LGEXLX
 
#girlsintech #empowerment https://t.co/Q5iHL5J8Ky"
99,2022-03-19 13:01:43+00:00,GirlsinTech,"Our Global Classroom Python Machine Learning bootcamp is filling up fast! (Watch out tech world: women with fresh skills are incoming.)

Not sure if it’s for you? View the registration page to learn more and sign up -  https://t.co/m3JeXBZP6h https://t.co/idZ8t6z73k"
100,2022-03-17 19:02:04+00:00,GirlsinTech,"Can you recall a moment when you thought to yourself “something’s got to change”? 

Read the @latimes article. 👇
https://t.co/9EL35oLUOw https://t.co/QXdSZUR5Sm"
101,2022-03-17 15:04:12+00:00,GirlsinTech,"Why do we struggle to ask for what we want? 🤔

@McKinsey https://t.co/LT6UAAt2kd"
